101 EQSim_Input_Geometry_2 4
111 FM3_1, ZENGBB output
112 Kevin Milner
113 Feb 22, 2016
202 18297 32.87776 -116.21225 -3300.0217 3236.34 0
202 18298 32.88027 -116.20852 -6599.978 3236.34 0
202 18299 32.902996 -116.23017 -6599.978 6472.68 0
202 18300 32.900494 -116.233894 -3300.0217 6472.68 0
202 18301 32.88117 -116.20938 -6600.0215 3236.34 0
202 18302 32.88367 -116.20565 -9899.979 3236.34 0
202 18303 32.906403 -116.227295 -9899.979 6472.68 0
202 18304 32.903896 -116.231026 -6600.0215 6472.68 0
202 18305 32.88457 -116.20651 -9900.021 3236.34 0
202 18306 32.887077 -116.20278 -13199.979 3236.34 0
202 18307 32.90981 -116.22443 -13199.979 6472.68 0
202 18308 32.907303 -116.22816 -9900.021 6472.68 0
204 4570 18277 18278 18279 18280 -161.3753 6.0565705E-11 0.2 319.55945 82.23992 1
204 4571 18281 18282 18283 18284 -161.3753 6.0565705E-11 0.2 319.56143 82.23994 1
204 4572 18285 18286 18287 18288 -161.3753 6.0565705E-11 0.2 319.56342 82.239944 1
204 4573 18289 18290 18291 18292 -161.3753 6.0565705E-11 0.2 319.5654 82.23996 1
204 4574 18293 18294 18295 18296 -161.3753 6.0565705E-11 0.2 321.3459 82.3044 1
204 4575 18297 18298 18299 18300 -161.3753 6.0565705E-11 0.2 321.3479 82.30441 1
204 4576 18301 18302 18303 18304 -161.3753 6.0565705E-11 0.2 321.3499 82.304436 1
204 4577 18305 18306 18307 18308 -161.3753 6.0565705E-11 0.2 321.35196 82.30445 1
201 516 Elsinore_Coyote_Mountains_Subsection_4 32 0 8 32.89722 32.954132 -116.28097 -116.22435 -13199.98 -0.019173674 0.0 6472.68 103
202 18309 32.89722 -116.23679 -0.022729369 0.0 2
202 18310 32.89945 -116.232956 -3299.9773 0.0 0
202 18311 32.923393 -116.25267 -3299.9773 3236.34 0
202 18312 32.92116 -116.25651 -0.022729369 3236.34 1
202 18313 32.900627 -116.233925 -3300.0227 0.0 0
202 18314 32.902855 -116.23009 -6599.977 0.0 0
202 18315 32.926796 -116.249794 -6599.977 3236.34 0
202 18316 32.92457 -116.25364 -3300.0227 3236.34 0
202 18317 32.90403 -116.23106 -6600.0225 0.0 0
202 18318 32.906258 -116.22722 -9899.978 0.0 0
202 18319 32.930202 -116.246925 -9899.978 3236.34 0
202 18320 32.927975 -116.25077 -6600.0225 3236.34 0
202 18321 32.907436 -116.22819 -9900.022 0.0 0
202 18322 32.909664 -116.22435 -13199.978 0.0 0
202 18323 32.93361 -116.24406 -13199.978 3236.34 0
202 18324 32.931377 -116.2479 -9900.022 3236.34 0
202 18325 32.920666 -116.25611 -0.019173674 3236.34 1
202 18326 32.923622 -116.252686 -3299.9807 3236.34 0
202 18327 32.943916 -116.27754 -3299.9807 6472.68 0
202 18328 32.940964 -116.28097 -0.019173674 6472.68 3
202 18329 32.924072 -116.25324 -3300.019 3236.34 0
202 18330 32.927025 -116.24982 -6599.981 3236.34 0
202 18331 32.947323 -116.27467 -6599.981 6472.68 0
202 18332 32.94437 -116.2781 -3300.019 6472.68 0
202 18333 32.927475 -116.250374 -6600.019 3236.34 0
202 18334 32.93043 -116.24695 -9899.98 3236.34 0
202 18335 32.95073 -116.271805 -9899.98 6472.68 0
202 18336 32.947773 -116.27523 -6600.019 6472.68 0
202 18337 32.93088 -116.247505 -9900.019 3236.34 0
