101 EQSim_Input_Friction_2 1
102 End_Metadata
120 200 summary 4    Record 200: Fault friction summary
121 1 n_element 1    Field 1: Total number of elements in the file
121 2 elastic_flag 1    Field 2: 1 if elastic parameters (record 201) are included, 0 if not
121 3 strength_flag 1    Field 3: 1 if fault strength (record 202) is included, 0 if not
121 4 rate_state_flag 1    Field 4: 1 if rate-state parameters (record 203) are included, 0 if not
120 201 elastic_param 2    Record 201: Elastic parameters
121 1 lame_lambda 2    Field 1: Lame modulus lambda (Pascal)
121 2 lame_mu 2    Field 2: Lame modulus mu, also known as the shear modulus (Pascal)
120 202 fault_strength 3    Record 202: Fault strength
121 1 index 1    Field 1: Element index number (consecutive integers, starting with 1)
121 2 static_strength 2    Field 2: Element static yield strength (Pascal)
121 3 dynamic_strength 2    Field 3: Element dynamic sliding strength (Pascal)
120 203 rate_state 6    Record 203: Rate-state parameters
121 1 index 1    Field 1: Element index number (consecutive integers, starting with 1)
121 2 A 2    Field 2: Element rate-state parameter A
121 3 B 2    Field 3: Element rate-state parameter B
121 4 L 2    Field 4: Element rate-state characteristic distance L (meters)
121 5 f0 2    Field 5: Element rate-state friction coefficient f0
121 6 V0 2    Field 6: Element rate-state reference velocity V0 (meters/second)
103 End_Descriptor
200 21833 1 1 0
202 286 2.2616e+07 0
202 287 2.2616e+07 0
202 288 2.2616e+07 0
202 289 2.2616e+07 0
202 290 2.2616e+07 0
202 291 2.2616e+07 0
202 292 2.2616e+07 0
202 293 2.2616e+07 0
202 294 2.2616e+07 0
202 295 2.2616e+07 0
202 296 2.2616e+07 0
202 297 2.2616e+07 0
202 298 2.2616e+07 0
202 299 2.2616e+07 0
202 300 2.2616e+07 0
202 301 2.2616e+07 0
202 302 2.2616e+07 0
202 303 2.2616e+07 0
202 304 2.2616e+07 0
202 305 2.2616e+07 0
202 306 2.2616e+07 0
202 307 2.2616e+07 0
202 308 2.2616e+07 0
202 309 2.2616e+07 0
202 310 2.2616e+07 0
202 311 2.2616e+07 0
202 312 2.2616e+07 0
202 313 2.2616e+07 0
202 314 2.2616e+07 0
202 315 2.2616e+07 0
202 316 2.2616e+07 0
202 317 2.2616e+07 0
202 318 2.2616e+07 0
202 319 2.2616e+07 0
202 320 2.2616e+07 0
202 321 2.2616e+07 0
202 322 2.2616e+07 0
202 323 2.2616e+07 0
202 324 2.2616e+07 0
202 325 2.2616e+07 0
202 326 2.2616e+07 0
202 327 2.2616e+07 0
202 328 2.2616e+07 0
202 329 2.2616e+07 0
202 330 2.2616e+07 0
202 331 2.2616e+07 0
202 332 2.2616e+07 0
202 333 2.2616e+07 0
202 334 2.2616e+07 0
202 335 2.2616e+07 0
202 336 2.2616e+07 0
202 337 2.2616e+07 0
202 338 2.2616e+07 0
202 339 2.2616e+07 0
202 340 2.2616e+07 0
202 341 2.2616e+07 0
202 342 2.2616e+07 0
202 343 2.2616e+07 0
202 344 2.2616e+07 0
202 345 2.2616e+07 0
202 346 2.2616e+07 0
202 347 2.2616e+07 0
202 348 2.2616e+07 0
202 349 2.2616e+07 0
202 350 2.2616e+07 0
202 351 2.2616e+07 0
202 352 2.2616e+07 0
202 353 2.2616e+07 0
202 354 2.2616e+07 0
202 355 2.2616e+07 0
202 356 2.2616e+07 0
202 357 2.2616e+07 0
202 358 2.2616e+07 0
202 359 2.2616e+07 0
202 360 2.2616e+07 0
202 361 2.2616e+07 0
202 362 2.2616e+07 0
202 363 2.2616e+07 0
202 364 2.2616e+07 0
202 365 2.2616e+07 0
202 366 2.2616e+07 0
202 367 2.2616e+07 0
202 368 2.2616e+07 0
202 369 2.2616e+07 0
202 370 2.2616e+07 0
202 371 2.2616e+07 0
202 372 2.2616e+07 0
202 373 2.2616e+07 0
202 374 2.2616e+07 0
202 375 2.2616e+07 0
202 376 2.2616e+07 0
202 377 2.2616e+07 0
202 378 2.2616e+07 0
202 379 2.2616e+07 0
