101 EQSim_Input_Geometry_2 2
102 End_Metadata
202 29328 34.3348 -116.434 -3975 3809.22 0
202 29329 34.3084 -116.408 -7950 7618.44 0
202 29330 34.3084 -116.408 -11925 3809.22 0
202 29331 34.3348 -116.434 -11925 3809.22 0
202 29332 34.3348 -116.434 -7950 3809.22 0
202 29333 34.3084 -116.408 -11925 7618.44 0
202 29334 34.3084 -116.408 -15900 3809.22 0
202 29335 34.3348 -116.434 -15900 3809.22 0
202 29336 34.3348 -116.434 -11925 3809.22 0
204 7327 29305 29306 29307 29308 -162.582 1.69492e-11 0 0 90 1
204 7328 29309 29310 29311 29312 -162.582 1.69492e-11 0 0 90 1
204 7329 29313 29314 29315 29316 -162.582 1.69492e-11 0 0 90 1
204 7330 29317 29318 29319 29320 -162.582 1.69492e-11 0 0 90 1
204 7331 29321 29322 29323 29324 -162.582 1.69492e-11 0 0 90 1
204 7332 29325 29326 29327 29328 -162.582 1.69492e-11 0 0 90 1
204 7333 29329 29330 29331 29332 -162.582 1.69492e-11 0 0 90 1
204 7334 29333 29334 29335 29336 -162.582 1.69492e-11 0 0 90 1
201 878 Homestead_Valley_2011_Subsection_3 32 0 8 34.3343 34.3963 -116.469 -116.434 -15900 -0 0 7618.44 723
202 29337 34.3343 -116.434 -0 3809.22 1
202 29338 34.3343 -116.434 -3975 0 0
202 29339 34.3653 -116.451 -3975 0 0
202 29340 34.3653 -116.451 -0 0 2
202 29341 34.3343 -116.434 -3975 3809.22 0
202 29342 34.3343 -116.434 -7950 0 0
202 29343 34.3653 -116.451 -7950 0 0
202 29344 34.3653 -116.451 -3975 0 0
202 29345 34.3343 -116.434 -7950 3809.22 0
202 29346 34.3343 -116.434 -11925 0 0
202 29347 34.3653 -116.451 -11925 0 0
202 29348 34.3653 -116.451 -7950 0 0
202 29349 34.3343 -116.434 -11925 3809.22 0
202 29350 34.3343 -116.434 -15900 0 0
202 29351 34.3653 -116.451 -15900 0 0
202 29352 34.3653 -116.451 -11925 0 0
202 29353 34.3653 -116.451 -0 7618.44 3
202 29354 34.3653 -116.451 -3975 3809.22 0
202 29355 34.3963 -116.469 -3975 3809.22 0
202 29356 34.3963 -116.469 -0 3809.22 1
202 29357 34.3653 -116.451 -3975 7618.44 0
202 29358 34.3653 -116.451 -7950 3809.22 0
202 29359 34.3963 -116.469 -7950 3809.22 0
202 29360 34.3963 -116.469 -3975 3809.22 0
202 29361 34.3653 -116.451 -7950 7618.44 0
202 29362 34.3653 -116.451 -11925 3809.22 0
202 29363 34.3963 -116.469 -11925 3809.22 0
202 29364 34.3963 -116.469 -7950 3809.22 0
202 29365 34.3653 -116.451 -11925 7618.44 0
202 29366 34.3653 -116.451 -15900 3809.22 0
202 29367 34.3963 -116.469 -15900 3809.22 0
202 29368 34.3963 -116.469 -11925 3809.22 0
204 7335 29337 29338 29339 29340 -162.582 1.69492e-11 0 0 90 1
204 7336 29341 29342 29343 29344 -162.582 1.69492e-11 0 0 90 1
204 7337 29345 29346 29347 29348 -162.582 1.69492e-11 0 0 90 1
204 7338 29349 29350 29351 29352 -162.582 1.69492e-11 0 0 90 1
204 7339 29353 29354 29355 29356 -162.582 1.69492e-11 0 0 90 1
204 7340 29357 29358 29359 29360 -162.582 1.69492e-11 0 0 90 1
204 7341 29361 29362 29363 29364 -162.582 1.69492e-11 0 0 90 1
204 7342 29365 29366 29367 29368 -162.582 1.69492e-11 0 0 90 1
201 879 Homestead_Valley_2011_Subsection_4 32 0 8 34.3963 34.4578 -116.506 -116.469 -15900 -0 0 7618.44 723
202 29369 34.3963 -116.469 -0 3809.22 1
202 29370 34.3963 -116.469 -3975 0 0
202 29371 34.4273 -116.487 -3975 0 0
202 29372 34.4273 -116.487 -0 0 2
202 29373 34.3963 -116.469 -3975 3809.22 0
202 29374 34.3963 -116.469 -7950 0 0
202 29375 34.4273 -116.487 -7950 0 0
202 29376 34.4273 -116.487 -3975 0 0
202 29377 34.3963 -116.469 -7950 3809.22 0
202 29378 34.3963 -116.469 -11925 0 0
202 29379 34.4273 -116.487 -11925 0 0
202 29380 34.4273 -116.487 -7950 0 0
202 29381 34.3963 -116.469 -11925 3809.22 0
202 29382 34.3963 -116.469 -15900 0 0
202 29383 34.4273 -116.487 -15900 0 0
202 29384 34.4273 -116.487 -11925 0 0
202 29385 34.4273 -116.487 -0 7618.44 3
202 29386 34.4273 -116.487 -3975 3809.22 0
202 29387 34.4578 -116.506 -3975 3809.22 0
202 29388 34.4578 -116.506 -0 3809.22 1
202 29389 34.4273 -116.487 -3975 7618.44 0
202 29390 34.4273 -116.487 -7950 3809.22 0
202 29391 34.4578 -116.506 -7950 3809.22 0
202 29392 34.4578 -116.506 -3975 3809.22 0
202 29393 34.4273 -116.487 -7950 7618.44 0
202 29394 34.4273 -116.487 -11925 3809.22 0
202 29395 34.4578 -116.506 -11925 3809.22 0
202 29396 34.4578 -116.506 -7950 3809.22 0
202 29397 34.4273 -116.487 -11925 7618.44 0
202 29398 34.4273 -116.487 -15900 3809.22 0
202 29399 34.4578 -116.506 -15900 3809.22 0
202 29400 34.4578 -116.506 -11925 3809.22 0
204 7343 29369 29370 29371 29372 -162.582 1.69492e-11 0 0 90 1
204 7344 29373 29374 29375 29376 -162.582 1.69492e-11 0 0 90 1
204 7345 29377 29378 29379 29380 -162.582 1.69492e-11 0 0 90 1
204 7346 29381 29382 29383 29384 -162.582 1.69492e-11 0 0 90 1
204 7347 29385 29386 29387 29388 -162.582 1.69492e-11 0 0 90 1
204 7348 29389 29390 29391 29392 -162.582 1.69492e-11 0 0 90 1
204 7349 29393 29394 29395 29396 -162.582 1.69492e-11 0 0 90 1
204 7350 29397 29398 29399 29400 -162.582 1.69492e-11 0 0 90 1
201 880 Homestead_Valley_2011_Subsection_5 32 0 8 34.4577 34.5206 -116.537 -116.506 -15900 -0 0 7618.44 723
202 29401 34.4577 -116.506 -0 3809.22 1
202 29402 34.4577 -116.506 -3975 0 0
202 29403 34.4877 -116.526 -3975 0 0
202 29404 34.4877 -116.526 -0 0 2
202 29405 34.4577 -116.506 -3975 3809.22 0
202 29406 34.4577 -116.506 -7950 0 0
202 29407 34.4877 -116.526 -7950 0 0
202 29408 34.4877 -116.526 -3975 0 0
202 29409 34.4577 -116.506 -7950 3809.22 0
202 29410 34.4577 -116.506 -11925 0 0
202 29411 34.4877 -116.526 -11925 0 0
202 29412 34.4877 -116.526 -7950 0 0
202 29413 34.4577 -116.506 -11925 3809.22 0
202 29414 34.4577 -116.506 -15900 0 0
202 29415 34.4877 -116.526 -15900 0 0
202 29416 34.4877 -116.526 -11925 0 0
202 29417 34.4877 -116.526 -0 7618.44 3
202 29418 34.4877 -116.526 -3975 3809.22 0
202 29419 34.5206 -116.537 -3975 3809.22 0
202 29420 34.5206 -116.537 -0 3809.22 1
202 29421 34.4877 -116.526 -3975 7618.44 0
202 29422 34.4877 -116.526 -7950 3809.22 0
202 29423 34.5206 -116.537 -7950 3809.22 0
202 29424 34.5206 -116.537 -3975 3809.22 0
202 29425 34.4877 -116.526 -7950 7618.44 0
202 29426 34.4877 -116.526 -11925 3809.22 0
202 29427 34.5206 -116.537 -11925 3809.22 0
202 29428 34.5206 -116.537 -7950 3809.22 0
202 29429 34.4877 -116.526 -11925 7618.44 0
202 29430 34.4877 -116.526 -15900 3809.22 0
202 29431 34.5206 -116.537 -15900 3809.22 0
202 29432 34.5206 -116.537 -11925 3809.22 0
204 7351 29401 29402 29403 29404 -162.582 1.69492e-11 0 0 90 1
204 7352 29405 29406 29407 29408 -162.582 1.69492e-11 0 0 90 1
204 7353 29409 29410 29411 29412 -162.582 1.69492e-11 0 0 90 1
204 7354 29413 29414 29415 29416 -162.582 1.69492e-11 0 0 90 1
204 7355 29417 29418 29419 29420 -162.582 1.69492e-11 0 0 90 1
204 7356 29421 29422 29423 29424 -162.582 1.69492e-11 0 0 90 1
204 7357 29425 29426 29427 29428 -162.582 1.69492e-11 0 0 90 1
204 7358 29429 29430 29431 29432 -162.582 1.69492e-11 0 0 90 1
201 989 Johnson_Valley_No_2011_rev_Subsection_0 32 0 8 34.1681 34.232 -116.439 -116.421 -15900 -0 0 7427.58 91
202 32577 34.1681 -116.421 -0 3713.79 1
202 32578 34.1681 -116.421 -3975 0 0
202 32579 34.1987 -116.437 -3975 0 0
202 32580 34.1987 -116.437 -0 0 2
202 32581 34.1681 -116.421 -3975 3713.79 0
202 32582 34.1681 -116.421 -7950 0 0
202 32583 34.1987 -116.437 -7950 0 0
202 32584 34.1987 -116.437 -3975 0 0
202 32585 34.1681 -116.421 -7950 3713.79 0
202 32586 34.1681 -116.421 -11925 0 0
202 32587 34.1987 -116.437 -11925 0 0
202 32588 34.1987 -116.437 -7950 0 0
202 32589 34.1681 -116.421 -11925 3713.79 0
202 32590 34.1681 -116.421 -15900 0 0
202 32591 34.1987 -116.437 -15900 0 0
202 32592 34.1987 -116.437 -11925 0 0
202 32593 34.1987 -116.437 -0 7427.58 3
